pagos,products,total
"[{""__ref__"":""pagos/ubOX9JTzIVRqF4a3naSU""}]","[{""__ref__"":""productosSeleccionados/002J2YKjG5IQ1qtzsCeQ""},{""__ref__"":""productosSeleccionados/WJYbyFPF0jkQrXsx5DNh""}]",6500
"[{""__ref__"":""pagos/lM2TtNDpquBTVj5qkBmY""}]","[{""__ref__"":""productosSeleccionados/00OsEybLj99X0VsGVVO8""},{""__ref__"":""productosSeleccionados/9caEuqe4rUM9fRl0vmgt""}]",9310
"[{""__ref__"":""pagos/3qWTopN0PKMUeFm4Ssqt""}]","[{""__ref__"":""productosSeleccionados/00vqj0AuUWaZTnKTMmwv""},{""__ref__"":""productosSeleccionados/NCp15lypWk5KI92YONqW""},{""__ref__"":""productosSeleccionados/WA3rVdE8emPAVF3jXmky""}]",7960
"[{""__ref__"":""pagos/XCjsWEnjMBovIZ03RFKX""}]","[{""__ref__"":""productosSeleccionados/01kbJ0kbc54OoPQLknmJ""},{""__ref__"":""productosSeleccionados/5tJY0iATlmr5OIYKpfgz""},{""__ref__"":""productosSeleccionados/ieq1Lic9HgJmw2KVFEZ1""},{""__ref__"":""productosSeleccionados/0YehMgBfTq6wHBXH9X0Z""}]",1610
"[{""__ref__"":""pagos/IX2fgTyaC1XIlB8SkLn7""},{""__ref__"":""pagos/odslth1ap2mkt7vX1unl""}]","[{""__ref__"":""productosSeleccionados/01lGFyf2aWcXdy4FR921""}]",3283.2
"[{""__ref__"":""pagos/mYdwOAxVkkrLs5JTtYRC""}]","[{""__ref__"":""productosSeleccionados/027MsMLcGX9HkZP7jo8D""}]",175
"[{""__ref__"":""pagos/mSyml4fhBDvhTTIZgNhe""}]","[{""__ref__"":""productosSeleccionados/02aD8YU13mn5svGESUwZ""}]",1978.83
"[{""__ref__"":""pagos/JIwWON0aCsFbbIg7kqhV""}]","[{""__ref__"":""productosSeleccionados/02rkb2IVqDf92H4rgRGy""}]",4522.608
"[{""__ref__"":""pagos/DNC79jenWPvnUuaEU2lA""},{""__ref__"":""pagos/SmcA0PpMBmDpWOm7QEl8""}]","[{""__ref__"":""productosSeleccionados/02w8xf6VvVNJKZM0u65x""},{""__ref__"":""productosSeleccionados/2qsuvFW80Y6SJSR5zivy""},{""__ref__"":""productosSeleccionados/4S5U1kw71XjswhYnZz9F""},{""__ref__"":""productosSeleccionados/35s1Ayzp00O0Zb8F3j8x""}]",189250
"[{""__ref__"":""pagos/jJtuSYFZwroZ9FxrIEv3""}]","[{""__ref__"":""productosSeleccionados/02XH2IVhjgMImsoRKNHE""},{""__ref__"":""productosSeleccionados/V3D96344CqyRfCBzcRyM""}]",3201.3385
"[{""__ref__"":""pagos/E8yvjqZTDikDXJFV0zVz""}]","[{""__ref__"":""productosSeleccionados/03DmcdUfkwnKmF4JKdum""},{""__ref__"":""productosSeleccionados/ECl52odwaXnGiPe299gO""}]",4316.688
"[{""__ref__"":""pagos/sFvoj1EO0SPgTlO9RTlf""}]","[{""__ref__"":""productosSeleccionados/03KAqHp6AuFMOszS2dX6""}]",1966.5
"[{""__ref__"":""pagos/B2637OFQYxQfqWpOm2Ii""}]","[{""__ref__"":""productosSeleccionados/03ttTWa0Avaz5kTvHOgq""}]",8190
"[{""__ref__"":""pagos/8Sd5YI8rwz8IKszqz9Xe""}]","[{""__ref__"":""productosSeleccionados/04FikWKx06IkB4tl9BEA""},{""__ref__"":""productosSeleccionados/3c8RW4ixPe34qvrNeJHg""}]",13402.7
"[{""__ref__"":""pagos/L5O66HIm7CBDLtQSNdMk""}]","[{""__ref__"":""productosSeleccionados/04hguw2cTeFWWy2JDpxA""},{""__ref__"":""productosSeleccionados/4g99x2gxmyy02mGfHLUp""},{""__ref__"":""productosSeleccionados/8Cb72UmkKzmaist0nBl5""}]",9501
"[{""__ref__"":""pagos/wEVfR2BDa7R0fqp3rnOF""}]","[{""__ref__"":""productosSeleccionados/04QpTTY0hZKAupn4swRF""},{""__ref__"":""productosSeleccionados/4299T9gR3NKrP3Lli1Cg""}]",11940
"[{""__ref__"":""pagos/OQgoAqYuTTfv2CkCEv1G""}]","[{""__ref__"":""productosSeleccionados/05DcWcL69o2wlXwfIq9S""},{""__ref__"":""productosSeleccionados/4YEyZXrWTD5EBs9kMVkk""},{""__ref__"":""productosSeleccionados/6LZSTYrZABxMakkX9rqN""}]",1008
"[{""__ref__"":""pagos/wciApHJm8M6BGiuw6Gu0""}]","[{""__ref__"":""productosSeleccionados/05pi3mlbkiFEns9u51yq""},{""__ref__"":""productosSeleccionados/ZC7cFmXDu27NA6HU1zFI""}]",15660
"[{""__ref__"":""pagos/ciyAjEqp0Shp513yRfsr""}]","[{""__ref__"":""productosSeleccionados/05sqc3DN6Uwpwz0zGKY3""}]",300
"[{""__ref__"":""pagos/PfeXGF4vaPTDLjS1aJ8i""}]","[{""__ref__"":""productosSeleccionados/05t67EBugJtukJ5fHtSM""}]",1430
"[{""__ref__"":""pagos/YPJ6qmdtSSbP8rCLLxhl""},{""__ref__"":""pagos/3a2fso5IMcpBoH3rxAff""}]","[{""__ref__"":""productosSeleccionados/05V1eHf9tJaOHrjd3DJp""},{""__ref__"":""productosSeleccionados/POe356uvo45G7Oggj0YD""},{""__ref__"":""productosSeleccionados/S8LJlZYQzBdl2GBsplzD""},{""__ref__"":""productosSeleccionados/gw6D8Amezut7u9Ya8SZO""}]",51915
"[{""__ref__"":""pagos/aIiuLiFziZErNgOeZKzb""}]","[{""__ref__"":""productosSeleccionados/05viYAZv9EqY4PPFMpyJ""}]",150
"[{""__ref__"":""pagos/IAFJy8jOzuzmNxoYJIvr""}]","[{""__ref__"":""productosSeleccionados/05zj7T5Lpht9GGr1u3lT""},{""__ref__"":""productosSeleccionados/rWbk6fjQKWaDSszJtha6""}]",5650.6
"[{""__ref__"":""pagos/j2rzkRidzN0LG30d4V5P""}]","[{""__ref__"":""productosSeleccionados/06cMkCtc2rObgfpayMuK""}]",720
"[{""__ref__"":""pagos/0FYlWbuc8VoiSPNPQvL7""}]","[{""__ref__"":""productosSeleccionados/079u98IQRH7ixpN1wWFu""},{""__ref__"":""productosSeleccionados/z0MCPu1wKEWrQSBV23rS""},{""__ref__"":""productosSeleccionados/XdktOo3fHFInxAn6hPht""}]",5206.95
"[{""__ref__"":""pagos/39NXmlDU6MnxvxVqSLnQ""}]","[{""__ref__"":""productosSeleccionados/082mfZczfPFTY67b6Nug""},{""__ref__"":""productosSeleccionados/RKcrj2sUSkZVJummPHVe""}]",7650
"[{""__ref__"":""pagos/xiBSqOyHXrzjE9brd4Ps""}]","[{""__ref__"":""productosSeleccionados/08qHohVjlzw0a8u6lm3h""}]",10527
"[{""__ref__"":""pagos/iyDcZnn7QK1hPskw9si2""}]","[{""__ref__"":""productosSeleccionados/08rSdwZe8KXxpiqXcmWe""}]",1720
"[{""__ref__"":""pagos/T8veqkGmeTm66IxjK1uK""}]","[{""__ref__"":""productosSeleccionados/0947a75Sh1va54XnZ8ux""}]",196
"[{""__ref__"":""pagos/q8GdTaPOEjeUWOvVeSlD""}]","[{""__ref__"":""productosSeleccionados/098iX7Lw3UGahuJPTPVn""},{""__ref__"":""productosSeleccionados/laDQHEYYn5tBrlktM0mw""}]",9200
"[{""__ref__"":""pagos/L30P1YRnugd6fjnTW3Yr""}]","[{""__ref__"":""productosSeleccionados/09MHmMIdeKODuUq0sLHU""},{""__ref__"":""productosSeleccionados/0NQ0YW22EPhz0K0PtOCP""},{""__ref__"":""productosSeleccionados/4JiNGvRVFmCqMhQBGKJU""}]",7210
"[{""__ref__"":""pagos/hPuX2EGPDwXNfN7SjNOi""}]","[{""__ref__"":""productosSeleccionados/09vVJUWNYxFtrWNT4Uti""},{""__ref__"":""productosSeleccionados/nX9lQYJXORrZ9S99nYNq""}]",1280
"[{""__ref__"":""pagos/6NNM91GmIJ04l8FpG6IP""}]","[{""__ref__"":""productosSeleccionados/09YGAGaOKTBl4Ceewf18""},{""__ref__"":""productosSeleccionados/qqkP6XvmlEZgHxCvOfCA""}]",1020
"[{""__ref__"":""pagos/N2h2PSEmGCH44RefiLQ0""}]","[{""__ref__"":""productosSeleccionados/09ZKt9r8oNnogyZYOuGh""}]",6890.9105
"[{""__ref__"":""pagos/UokOARQBmx5I1H1r2JFe""}]","[{""__ref__"":""productosSeleccionados/0A2bJuslGSeq1fBHjGqz""}]",1080
"[{""__ref__"":""pagos/ZYmYiZzNHjqi0tlTnWhd""}]","[{""__ref__"":""productosSeleccionados/0A5MjmTTt38ELvcKRDKJ""}]",1491
"[{""__ref__"":""pagos/wJjNSxlfU1LZgbRMP9N5""},{""__ref__"":""pagos/ZIhqKgWGXP9ui4RQsUBH""}]","[{""__ref__"":""productosSeleccionados/0aeWacvUROhIOYHIolRF""},{""__ref__"":""productosSeleccionados/nUjavQbmFAoSC0Qm6SId""},{""__ref__"":""productosSeleccionados/UtIBRQbSdahLp6nIVTfJ""},{""__ref__"":""productosSeleccionados/FLe0zzT01pzoojLgXxnb""},{""__ref__"":""productosSeleccionados/bW91rnTagpFqnTb5BCkW""}]",59616.7
"[{""__ref__"":""pagos/lktk43YwIW41AEUSaAh9""}]","[{""__ref__"":""productosSeleccionados/0afN444V6EuX5td1JlbE""}]",6073.9
"[{""__ref__"":""pagos/uGuv1sWDasywXbtHtTRP""}]","[{""__ref__"":""productosSeleccionados/0AQkZXsVFKkfatrLyT0q""},{""__ref__"":""productosSeleccionados/dLPTotY6hP2cc2921GYk""}]",3940
"[{""__ref__"":""pagos/pVmXHMnDMdpcwsMAcOiq""}]","[{""__ref__"":""productosSeleccionados/0aqXcH1S8MjycSV4C2b2""}]",3240
"[{""__ref__"":""pagos/kRAjpyieQAaw8SS2CznX""}]","[{""__ref__"":""productosSeleccionados/0aremXlsebhAXfFk4rkO""}]",110
