id_pagos,amount,created
2W39tkqJVz5MOLunC0xe,21704.76,2024-11-01T00:04:02.378Z
T1E3Puvm9f4Gv0sAnqfl,7029.3825,2024-11-01T00:01:24.381Z
fOBtOkXQHBdWg9chO8to,17758.44,2024-10-31T23:55:49.820Z
HWFd416IkDIzmzzPpsLY,150,2024-10-31T23:51:20.845Z
tZ15I8XBufNvu0oMSgxN,10289.564,2024-10-31T23:48:05.198Z
bvu0VCTlJhui9PpLUXWo,5623.506,2024-10-31T23:44:50.799Z
k0TnhSNiMFzYa2sfTNKd,7400,2024-10-31T23:35:56.070Z
4v955jQrub2MScabySuo,8814.6,2024-10-31T23:29:40.885Z
KRdgNmdHPMpOF4g4evkj,35080,2024-10-31T23:29:36.650Z
n1E0t5JNQXekBkdG3Tkm,4780,2024-10-31T23:27:13.890Z
2Pdr16iPEttu7m0nc2II,10962,2024-10-31T23:22:52.045Z
RJiBwV3l9hGKAWgTwxjW,7400,2024-10-31T23:19:19.117Z
rgDg4rNOk3BMcMFd8EbG,1200,2024-10-31T23:14:20.749Z
VP06D6BEDraaB6R4DU88,2000,2024-10-31T23:11:54.990Z
E02ZgKhkm1y0gexUVWHx,14153,2024-10-31T23:07:00.738Z
vVMqFV00sdOsBy23KU5Q,2300,2024-10-31T23:05:14.060Z
DOtQSYESojpRxK8WUIXu,8199.45,2024-10-31T23:02:49.616Z
tJ73B3wl2xkiN0gGUWEz,1000,2024-10-31T23:02:21.280Z
ok5l0epRgg1UDF9s5sUl,10902,2024-10-31T22:56:56.242Z
2x4qDz3XnCYUzv75LE3R,6297.3,2024-10-31T22:51:20.493Z
BBd0b9RFN1BtjEBhacCG,9794,2024-10-31T22:48:35.741Z
TVTQrCyHZaZJ2tBGxNAl,2000,2024-10-31T22:42:16.175Z
ctYnUjCV91s5IT4rJlPz,1860,2024-10-31T22:41:20.427Z
BeKe1pW6mlcg2xXcZ3nM,17990.28,2024-10-31T22:34:50.901Z
UTeFruRchTQlA3qAhEWX,9900,2024-10-31T22:32:21.133Z
iyhrGKQR6vc8iXCJOlvP,2249.4005,2024-10-31T22:26:04.366Z
KIT2QJVC07s4fVSQpJLo,1373,2024-10-31T22:20:21.867Z
TwBAhOKxN7IsIAaQc5VL,8000,2024-10-31T22:18:57.597Z
7292ojFzmlWpHMm00Lld,1640,2024-10-31T22:12:12.181Z
7RAmHPapjV6tNrxawHJ5,10610,2024-10-31T22:10:30.012Z
iiRgA2oxd1wUf1cLjF6l,5400,2024-10-31T22:01:00.702Z
Z5V45fWGyHdaBiKdZOqH,14640,2024-10-31T21:56:54.412Z
ym706ns7fIcmuUDmfW1k,2679,2024-10-31T21:55:52.252Z
SEVSNsizyNerLd8tRltN,4074,2024-10-31T21:55:43.752Z
oBFblccW0gHVKWy6a7u6,20440,2024-10-31T21:35:27.011Z
QR6vJlY2LmuxkGX18BKh,3411,2024-10-31T21:33:03.598Z
bXGAtHZpQz8ywEeiLX4U,14364,2024-10-31T21:31:51.930Z
681l9GeaXvEM0dZNtpgR,13283,2024-10-31T21:26:03.928Z
GyQvELWWi6Z8slX3AHf9,960,2024-10-31T21:25:08.194Z
3ZTSCi1QFcAeH5FZZGYI,4500,2024-10-31T21:18:50.611Z
HkuQ785ertsg0kouxbjC,21000,2024-10-31T21:12:13.528Z
R0yvDXMF6TIZSYiBYs0w,11000,2024-10-31T21:11:26.384Z
WGE5TwPvMbO1HXPl2z8q,11302,2024-10-31T20:59:02.395Z
1BCbY6mUzgxnsQA6kOZs,200,2024-10-31T20:58:46.493Z
IVGk5cNiGOqFJklNxlwb,2750,2024-10-31T20:53:25.610Z
bDxHOke8XYP9MsqaD59G,2530,2024-10-31T20:50:43.985Z
m75i2ZyVEibOOwNBFC0F,43470,2024-10-31T20:43:39.448Z
93Jt9bwds7AKS0IdLHHs,12893,2024-10-31T20:42:38.710Z
lfR3C89kidShKXRX2zi5,9100,2024-10-31T20:41:08.448Z
Nit4iaRUrmFUgKIsHYl2,1330,2024-10-31T20:35:37.068Z
WgRl6GaNCtbHFuU8d8OI,1624.5,2024-10-31T20:25:43.261Z
h1Gi4NLWJcgvGuQZPTSw,15000,2024-10-31T20:24:59.826Z
9mv2jORWLlR2bzc0FKrm,16443,2024-10-31T20:24:44.553Z
jPjIuomHPPsEpH1AMIvK,2700,2024-10-31T20:19:19.531Z
Pyp5wLhGGdvqUG5bNVYy,3097,2024-10-31T20:09:29.299Z
